Crsytal with exposed surface: 001 and interactomic distance: 1.12246

1565 atoms
1 atom types
-24.69416506280686 24.694165062805553 xlo xhi
-24.69416506280745 24.694165062804963 ylo yhi
0.0 23.035585990235727 zlo zhi

Atoms

0 1000000 1 -10.102158 -16.836931 9.525370 0 0 0
0 1000000 1 -8.979696 -16.836931 8.848133 0 0 0
0 1000000 1 -7.857234 -16.836931 8.273326 0 0 0
0 1000000 1 -6.734772 -16.836931 7.790683 0 0 0
0 1000000 1 -5.612310 -16.836931 7.392623 0 0 0
0 1000000 1 -4.489848 -16.836931 7.073510 0 0 0
0 1000000 1 -3.367386 -16.836931 6.829186 0 0 0
0 1000000 1 -2.244924 -16.836931 6.656661 0 0 0
0 1000000 1 -1.122462 -16.836931 6.553921 0 0 0
0 1000000 1 -0.000000 -16.836931 6.519801 0 0 0
0 1000000 1 1.122462 -16.836931 6.553921 0 0 0
0 1000000 1 2.244924 -16.836931 6.656661 0 0 0
0 1000000 1 3.367386 -16.836931 6.829186 0 0 0
0 1000000 1 4.489848 -16.836931 7.073510 0 0 0
0 1000000 1 5.612310 -16.836931 7.392623 0 0 0
0 1000000 1 6.734772 -16.836931 7.790683 0 0 0
0 1000000 1 7.857234 -16.836931 8.273326 0 0 0
0 1000000 1 8.979696 -16.836931 8.848133 0 0 0
0 1000000 1 10.102158 -16.836931 9.525370 0 0 0
0 1000000 1 11.224620 -16.836931 10.319208 0 0 0
0 1000000 1 12.347083 -16.836931 11.249825 0 0 0
0 1000000 1 13.469545 -16.836931 12.347367 0 0 0
0 1000000 1 14.592007 -16.836931 13.660198 0 0 0
0 1000000 1 15.714469 -16.836931 15.275123 0 0 0
0 1000000 1 16.836931 -16.836931 17.381895 0 0 0
0 1000000 1 17.959393 -16.836931 20.643628 0 0 0
0 1000000 1 -19.081855 -15.714469 21.266598 0 0 0
0 1000000 1 -17.959393 -15.714469 17.549115 0 0 0
0 1000000 1 -16.836931 -15.714469 15.275123 0 0 0
0 1000000 1 -15.714469 -15.714469 13.549631 0 0 0
0 1000000 1 -14.592007 -15.714469 12.149754 0 0 0
0 1000000 1 -13.469545 -15.714469 10.977631 0 0 0
0 1000000 1 -12.347083 -15.714469 9.979846 0 0 0
0 1000000 1 -11.224620 -15.714469 9.123496 0 0 0
0 1000000 1 -10.102158 -15.714469 8.386696 0 0 0
0 1000000 1 -8.979696 -15.714469 7.754116 0 0 0
0 1000000 1 -7.857234 -15.714469 7.214631 0 0 0
0 1000000 1 -6.734772 -15.714469 6.759980 0 0 0
0 1000000 1 -5.612310 -15.714469 6.383946 0 0 0
0 1000000 1 -4.489848 -15.714469 6.081841 0 0 0
0 1000000 1 -3.367386 -15.714469 5.850165 0 0 0
0 1000000 1 -2.244924 -15.714469 5.686383 0 0 0
0 1000000 1 -1.122462 -15.714469 5.588778 0 0 0
0 1000000 1 -0.000000 -15.714469 5.556351 0 0 0
0 1000000 1 1.122462 -15.714469 5.588778 0 0 0
0 1000000 1 2.244924 -15.714469 5.686383 0 0 0
0 1000000 1 3.367386 -15.714469 5.850165 0 0 0
0 1000000 1 4.489848 -15.714469 6.081841 0 0 0
0 1000000 1 5.612310 -15.714469 6.383946 0 0 0
0 1000000 1 6.734772 -15.714469 6.759980 0 0 0
0 1000000 1 7.857234 -15.714469 7.214631 0 0 0
0 1000000 1 8.979696 -15.714469 7.754116 0 0 0
0 1000000 1 10.102158 -15.714469 8.386696 0 0 0
0 1000000 1 11.224620 -15.714469 9.123496 0 0 0
0 1000000 1 12.347083 -15.714469 9.979846 0 0 0
0 1000000 1 13.469545 -15.714469 10.977631 0 0 0
0 1000000 1 14.592007 -15.714469 12.149754 0 0 0
0 1000000 1 15.714469 -15.714469 13.549631 0 0 0
0 1000000 1 16.836931 -15.714469 15.275123 0 0 0
0 1000000 1 17.959393 -15.714469 17.549115 0 0 0
0 1000000 1 19.081855 -15.714469 21.266598 0 0 0
0 1000000 1 -20.204317 -14.592007 23.035586 0 0 0
0 1000000 1 -19.081855 -14.592007 18.074961 0 0 0
0 1000000 1 -17.959393 -14.592007 15.537783 0 0 0
0 1000000 1 -16.836931 -14.592007 13.660198 0 0 0
0 1000000 1 -15.714469 -14.592007 12.149754 0 0 0
0 1000000 1 -14.592007 -14.592007 10.888066 0 0 0
0 1000000 1 -13.469545 -14.592007 9.813008 0 0 0
0 1000000 1 -12.347083 -14.592007 8.887182 0 0 0
0 1000000 1 -11.224620 -14.592007 8.086064 0 0 0
0 1000000 1 -10.102158 -14.592007 7.392623 0 0 0
0 1000000 1 -8.979696 -14.592007 6.794550 0 0 0
0 1000000 1 -7.857234 -14.592007 6.282703 0 0 0
0 1000000 1 -6.734772 -14.592007 5.850165 0 0 0
0 1000000 1 -5.612310 -14.592007 5.491660 0 0 0
0 1000000 1 -4.489848 -14.592007 5.203167 0 0 0
0 1000000 1 -3.367386 -14.592007 4.981657 0 0 0
0 1000000 1 -2.244924 -14.592007 4.824925 0 0 0
0 1000000 1 -1.122462 -14.592007 4.731467 0 0 0
0 1000000 1 -0.000000 -14.592007 4.700410 0 0 0
0 1000000 1 1.122462 -14.592007 4.731467 0 0 0
0 1000000 1 2.244924 -14.592007 4.824925 0 0 0
0 1000000 1 3.367386 -14.592007 4.981657 0 0 0
0 1000000 1 4.489848 -14.592007 5.203167 0 0 0
0 1000000 1 5.612310 -14.592007 5.491660 0 0 0
0 1000000 1 6.734772 -14.592007 5.850165 0 0 0
0 1000000 1 7.857234 -14.592007 6.282703 0 0 0
0 1000000 1 8.979696 -14.592007 6.794550 0 0 0
0 1000000 1 10.102158 -14.592007 7.392623 0 0 0
0 1000000 1 11.224620 -14.592007 8.086064 0 0 0
0 1000000 1 12.347083 -14.592007 8.887182 0 0 0
0 1000000 1 13.469545 -14.592007 9.813008 0 0 0
0 1000000 1 14.592007 -14.592007 10.888066 0 0 0
0 1000000 1 15.714469 -14.592007 12.149754 0 0 0
0 1000000 1 16.836931 -14.592007 13.660198 0 0 0
0 1000000 1 17.959393 -14.592007 15.537783 0 0 0
0 1000000 1 19.081855 -14.592007 18.074961 0 0 0
0 1000000 1 20.204317 -14.592007 23.035586 0 0 0
0 1000000 1 -20.204317 -13.469545 19.053829 0 0 0
0 1000000 1 -19.081855 -13.469545 16.086292 0 0 0
0 1000000 1 -17.959393 -13.469545 13.998565 0 0 0
0 1000000 1 -16.836931 -13.469545 12.347367 0 0 0
0 1000000 1 -15.714469 -13.469545 10.977631 0 0 0
0 1000000 1 -14.592007 -13.469545 9.813008 0 0 0
0 1000000 1 -13.469545 -13.469545 8.809177 0 0 0
0 1000000 1 -12.347083 -13.469545 7.937734 0 0 0
0 1000000 1 -11.224620 -13.469545 7.179246 0 0 0
0 1000000 1 -10.102158 -13.469545 6.519801 0 0 0
0 1000000 1 -8.979696 -13.469545 5.949110 0 0 0
